SEED VS. SEED.,W-L,PCT.
1 vs. 16,154-2,.987
2 vs. 15,145-11,.929
3 vs. 14,133-23,.853
4 vs. 13,123-33,.788
5 vs. 12,101-55,.647
6 vs. 11,95-61,.609
7 vs. 10*,95-60,.613
8 vs. 9,75-81,.481
